ODB Name,Step,Frame,Part Instance Name, Element Label,         Facet,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,        CPRESS
/home/cj/Dropbox/phdWork/courseWork/2018Spring/EGM6352AdvanceFEA/HW/Project1/abaqus_work/opt_demo/Job-1.odb,Step-1,Increment     20: Step Time =    1.000,"PART-1-1",            41,             1,             7,            0.,   15.7000E-03,            0.,"ASSEMBLY_PART-1-1_SET-4","MOONEY-RIVLIN",NA,            0.
/home/cj/Dropbox/phdWork/courseWork/2018Spring/EGM6352AdvanceFEA/HW/Project1/abaqus_work/opt_demo/Job-1.odb,Step-1,Increment     20: Step Time =    1.000,"PART-1-1",            41,             1,            77,   1.27405E-03,   15.7000E-03,            0.,"ASSEMBLY_PART-1-1_SET-4","MOONEY-RIVLIN",NA,            0.
/home/cj/Dropbox/phdWork/courseWork/2018Spring/EGM6352AdvanceFEA/HW/Project1/abaqus_work/opt_demo/Job-1.odb,Step-1,Increment     20: Step Time =    1.000,"PART-1-1",            41,             2,             7,            0.,   15.7000E-03,            0.,"ASSEMBLY_PART-1-1_SET-4","MOONEY-RIVLIN",NA,            0.
/home/cj/Dropbox/phdWork/courseWork/2018Spring/EGM6352AdvanceFEA/HW/Project1/abaqus_work/opt_demo/Job-1.odb,Step-1,Increment     20: Step Time =    1.000,"PART-1-1",            41,             2,           344,            0.,   14.4923E-03,            0.,"ASSEMBLY_PART-1-1_SET-4","MOONEY-RIVLIN",NA,            0.
/home/cj/Dropbox/phdWork/courseWork/2018Spring/EGM6352AdvanceFEA/HW/Project1/abaqus_work/opt_demo/Job-1.odb,Step-1,Increment     20: Step Time =    1.000,"PART-1-1",            58,             3,            51,   47.0649E-03,   15.7000E-03,            0.,"ASSEMBLY_PART-1-1_SET-4","MOONEY-RIVLIN",NA,            0.
/home/cj/Dropbox/phdWork/courseWork/2018Spring/EGM6352AdvanceFEA/HW/Project1/abaqus_work/opt_demo/Job-1.odb,Step-1,Increment     20: Step Time =    1.000,"PART-1-1",            58,             3,            53,   45.8403E-03,   15.9436E-03,            0.,"ASSEMBLY_PART-1-1_SET-4","MOONEY-RIVLIN",NA,            0.
/home/cj/Dropbox/phdWork/courseWork/2018Spring/EGM6352AdvanceFEA/HW/Project1/abaqus_work/opt_demo/Job-1.odb,Step-1,Increment     20: Step Time =    1.000,"PART-1-1",            64,             2,           376,   63.0000E-03,   15.9957E-03,            0.,"ASSEMBLY_PART-1-1_SET-4","MOONEY-RIVLIN",NA,            0.
/home/cj/Dropbox/phdWork/courseWork/2018Spring/EGM6352AdvanceFEA/HW/Project1/abaqus_work/opt_demo/Job-1.odb,Step-1,Increment     20: Step Time =    1.000,"PART-1-1",            64,             2,           377,   63.0000E-03,   14.7652E-03,            0.,"ASSEMBLY_PART-1-1_SET-4","MOONEY-RIVLIN",NA,            0.
/home/cj/Dropbox/phdWork/courseWork/2018Spring/EGM6352AdvanceFEA/HW/Project1/abaqus_work/opt_demo/Job-1.odb,Step-1,Increment     20: Step Time =    1.000,"PART-1-1",            66,             2,            35,   63.0000E-03,   17.2261E-03,            0.,"ASSEMBLY_PART-1-1_SET-4","MOONEY-RIVLIN",NA,            0.
/home/cj/Dropbox/phdWork/courseWork/2018Spring/EGM6352AdvanceFEA/HW/Project1/abaqus_work/opt_demo/Job-1.odb,Step-1,Increment     20: Step Time =    1.000,"PART-1-1",            66,             2,           375,   63.0000E-03,   18.4565E-03,            0.,"ASSEMBLY_PART-1-1_SET-4","MOONEY-RIVLIN",NA,            0.
